Cycle/CIFAR,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
1,GradCAM,0,0.966,0.379,0.152,0.01,0.551
1,GradCAM,1,0.977,0.312,0.005,0.01,0.573
1,GradCAM,2,0.96,0.296,0.026,0.01,0.56
1,GradCAM,3,0.874,0.368,0.365,0.01,0.472
1,GradCAM,4,0.936,0.278,0.562,0.01,0.416
1,GradCAM,5,0.901,0.278,0.008,0.01,0.545
1,GradCAM,6,0.967,0.462,0.231,0.01,0.552
1,GradCAM,7,0.976,0.374,0.048,0.01,0.578
1,GradCAM,8,0.916,0.314,0.189,0.01,0.513
1,GradCAM,9,0.985,0.372,0.694,0.01,0.418
1,GradCAM,10,0.96,0.372,0.021,0.01,0.58
1,GradCAM,11,0.93,0.361,0.026,0.01,0.569
1,GradCAM,12,0.957,0.498,0.004,0.01,0.615
1,GradCAM,13,0.938,0.358,0.41,0.01,0.474
1,GradCAM,14,0.974,0.358,0.394,0.01,0.487
1,GradCAM,15,0.829,0.364,0.07,0.01,0.533
1,GradCAM,16,0.961,0.344,0.272,0.01,0.511
1,GradCAM,17,0.984,0.308,0.25,0.01,0.513
1,GradCAM,18,0.851,0.366,0.641,0.01,0.396
1,GradCAM,19,0.887,0.272,0.003,0.01,0.541
1,GradCAM,20,0.934,0.353,0.001,0.01,0.574
1,GradCAM,21,0.919,0.34,0.002,0.01,0.567
1,GradCAM,22,0.833,0.264,0.227,0.01,0.47
1,GradCAM,23,0.966,0.313,0.823,0.01,0.366
1,GradCAM,24,0.903,0.382,0.01,0.01,0.571
1,GradCAM,25,0.845,0.28,0.057,0.01,0.519
1,GradCAM,26,0.871,0.328,0.544,0.01,0.416
1,GradCAM,27,0.928,0.245,0.032,0.01,0.538
1,GradCAM,28,0.984,0.34,0.009,0.01,0.581
1,GradCAM,29,0.973,0.415,0.303,0.01,0.524
1,GradCAM,30,0.955,0.363,0.144,0.01,0.546
1,GradCAM,31,0.988,0.368,0.001,0.01,0.591
1,GradCAM,32,0.966,0.276,0.108,0.01,0.536
1,GradCAM,33,0.965,0.324,0.215,0.01,0.521
1,GradCAM,34,0.948,0.417,0.923,0.01,0.363
1,GradCAM,35,0.828,0.295,0.001,0.01,0.533
1,GradCAM,36,0.866,0.332,0.885,0.01,0.331
1,GradCAM,37,0.812,0.324,0.002,0.01,0.536
1,GradCAM,38,0.938,0.329,0.105,0.01,0.543
1,GradCAM,39,0.862,0.349,0.0,0.01,0.555
1,GradCAM,40,0.911,0.311,0.533,0.01,0.425
1,GradCAM,41,0.916,0.345,0.029,0.01,0.56
1,GradCAM,42,0.941,0.331,0.149,0.01,0.533
1,GradCAM,43,0.955,0.312,0.003,0.01,0.568
1,GradCAM,44,0.854,0.273,0.043,0.01,0.524
1,GradCAM,45,0.879,0.364,0.657,0.01,0.399
1,GradCAM,46,0.975,0.357,0.0,0.01,0.585
1,GradCAM,47,0.985,0.306,0.079,0.01,0.556
1,GradCAM,48,0.982,0.404,0.06,0.01,0.584
1,GradCAM,49,0.932,0.303,0.019,0.01,0.557
1,GradCAM,50,0.67,0.324,0.103,0.01,0.475
1,GradCAM,51,0.936,0.325,0.029,0.01,0.56
1,GradCAM,52,0.984,0.42,0.35,0.01,0.516
1,GradCAM,53,0.847,0.33,0.014,0.01,0.543
1,GradCAM,54,0.909,0.266,0.373,0.01,0.453
1,GradCAM,55,0.944,0.366,0.66,0.01,0.415
1,GradCAM,56,0.94,0.35,0.001,0.01,0.575
1,GradCAM,57,0.996,0.411,0.749,0.01,0.417
1,GradCAM,58,0.957,0.43,0.001,0.01,0.599
1,GradCAM,59,0.969,0.353,0.044,0.01,0.572
1,GradCAM,60,0.902,0.38,0.001,0.01,0.573
1,GradCAM,61,0.884,0.393,0.773,0.01,0.379
1,GradCAM,62,0.957,0.382,0.331,0.01,0.505
1,GradCAM,63,0.918,0.331,0.038,0.01,0.555
1,GradCAM,64,0.945,0.349,0.016,0.01,0.572
1,GradCAM,65,0.987,0.383,0.029,0.01,0.588
1,GradCAM,66,0.952,0.319,0.059,0.01,0.556
1,GradCAM,67,0.934,0.341,0.0,0.01,0.571
1,GradCAM,68,0.962,0.399,0.916,0.01,0.364
1,GradCAM,69,0.905,0.474,0.006,0.01,0.596
1,GradCAM,70,0.976,0.455,0.017,0.01,0.606
1,GradCAM,71,0.782,0.347,0.0,0.01,0.535
1,GradCAM,72,0.977,0.352,0.002,0.01,0.584
1,GradCAM,73,0.419,0.471,0.002,0.01,0.474
1,GradCAM,74,0.898,0.389,0.173,0.01,0.531
1,GradCAM,75,0.969,0.351,0.045,0.01,0.571
1,GradCAM,76,0.898,0.289,0.094,0.01,0.526
1,GradCAM,77,0.941,0.27,0.01,0.01,0.553
1,GradCAM,78,0.849,0.315,0.079,0.01,0.524
1,GradCAM,79,0.942,0.329,0.869,0.01,0.353
1,GradCAM,80,0.873,0.333,0.001,0.01,0.554
1,GradCAM,81,0.774,0.301,0.078,0.01,0.502
1,GradCAM,82,0.966,0.3,0.003,0.01,0.568
1,GradCAM,83,0.979,0.366,0.364,0.01,0.498
1,GradCAM,84,0.9,0.293,0.403,0.01,0.45
1,GradCAM,85,0.989,0.359,0.022,0.01,0.584
1,GradCAM,86,0.984,0.44,0.016,0.01,0.605
1,GradCAM,87,0.968,0.334,0.001,0.01,0.578
1,GradCAM,88,0.958,0.321,0.001,0.01,0.572
1,GradCAM,89,0.988,0.368,0.017,0.01,0.587
1,GradCAM,90,0.99,0.332,0.054,0.01,0.57
1,GradCAM,91,0.993,0.354,0.0,0.01,0.589
1,GradCAM,92,0.953,0.328,0.005,0.01,0.572
1,GradCAM,93,0.775,0.409,0.033,0.01,0.54
1,GradCAM,94,0.984,0.359,0.087,0.01,0.567
1,GradCAM,95,0.886,0.292,0.0,0.01,0.547
1,GradCAM,96,0.917,0.423,0.473,0.01,0.469
1,GradCAM,97,0.972,0.43,0.245,0.01,0.542
1,GradCAM,98,0.906,0.377,0.003,0.01,0.572
1,GradCAM,99,0.985,0.319,0.002,0.01,0.578
1,SHAP,0,0.09,0.469,0.258,0.01,0.328
1,SHAP,1,0.142,0.415,0.45,0.01,0.279
1,SHAP,2,0.139,0.466,0.539,0.01,0.269
1,SHAP,3,0.123,0.445,0.086,0.01,0.373
1,SHAP,4,0.064,0.457,0.496,0.01,0.259
1,SHAP,5,0.048,0.455,0.315,0.01,0.3
1,SHAP,6,0.21,0.475,0.133,0.01,0.391
1,SHAP,7,0.286,0.532,0.189,0.01,0.41
1,SHAP,8,0.069,0.45,0.485,0.01,0.261
1,SHAP,9,0.113,0.511,0.109,0.01,0.381
1,SHAP,10,0.148,0.489,0.078,0.01,0.392
1,SHAP,11,0.15,0.443,0.003,0.01,0.4
1,SHAP,12,0.123,0.473,0.34,0.01,0.317
1,SHAP,13,0.077,0.472,0.112,0.01,0.362
1,SHAP,14,0.147,0.491,0.469,0.01,0.295
1,SHAP,15,0.152,0.493,0.007,0.01,0.412
1,SHAP,16,0.245,0.482,0.248,0.01,0.372
1,SHAP,17,0.308,0.503,0.287,0.01,0.384
1,SHAP,18,0.106,0.476,0.049,0.01,0.386
1,SHAP,19,0.177,0.48,0.369,0.01,0.324
1,SHAP,20,0.172,0.491,0.298,0.01,0.344
1,SHAP,21,0.105,0.465,0.001,0.01,0.395
1,SHAP,22,0.161,0.45,0.428,0.01,0.298
1,SHAP,23,0.123,0.519,0.188,0.01,0.366
1,SHAP,24,0.116,0.466,0.013,0.01,0.395
1,SHAP,25,0.078,0.451,0.231,0.01,0.327
1,SHAP,26,0.181,0.43,0.107,0.01,0.378
1,SHAP,27,0.093,0.442,0.41,0.01,0.284
1,SHAP,28,0.245,0.509,0.027,0.01,0.435
1,SHAP,29,0.179,0.49,0.296,0.01,0.346
1,SHAP,30,0.32,0.478,0.12,0.01,0.422
1,SHAP,31,0.126,0.413,0.002,0.01,0.387
1,SHAP,32,0.128,0.459,0.056,0.01,0.385
1,SHAP,33,0.258,0.471,0.463,0.01,0.319
1,SHAP,34,0.18,0.464,0.051,0.01,0.401
1,SHAP,35,0.107,0.425,0.264,0.01,0.32
1,SHAP,36,0.193,0.391,0.461,0.01,0.283
1,SHAP,37,0.118,0.428,0.63,0.01,0.231
1,SHAP,38,0.242,0.518,0.202,0.01,0.392
1,SHAP,39,0.122,0.477,0.001,0.01,0.402
1,SHAP,40,0.164,0.451,0.58,0.01,0.261
1,SHAP,41,0.109,0.444,0.002,0.01,0.39
1,SHAP,42,0.254,0.546,0.284,0.01,0.382
1,SHAP,43,0.1,0.459,0.001,0.01,0.392
1,SHAP,44,0.223,0.418,0.278,0.01,0.343
1,SHAP,45,0.206,0.46,0.196,0.01,0.37
1,SHAP,46,0.206,0.481,0.002,0.01,0.424
1,SHAP,47,0.229,0.488,0.006,0.01,0.43
