Cycle/PCAM,XAI Method,Accuracy,Precision,Recall,F1,Continuity,Compactness,Correctness,Consistency,XQS
1,GradCAM,0.82,0.883,0.739,0.804,1.0,0.312,0.617,0.01,0.426
1,SHAP,0.82,0.883,0.739,0.804,0.253,0.434,0.526,0.01,0.293
2,GradCAM,0.834,0.844,0.819,0.831,1.0,0.322,0.622,0.983,0.671
2,SHAP,0.834,0.844,0.819,0.831,0.236,0.434,0.532,0.231,0.342
3,GradCAM,0.837,0.854,0.811,0.832,1.0,0.324,0.624,0.982,0.671
3,SHAP,0.837,0.854,0.811,0.832,0.249,0.443,0.53,0.231,0.348
4,GradCAM,0.846,0.872,0.81,0.84,0.999,0.33,0.631,0.978,0.669
4,SHAP,0.846,0.872,0.81,0.84,0.244,0.439,0.53,0.236,0.347
5,GradCAM,0.849,0.871,0.82,0.845,1.0,0.34,0.632,0.98,0.672
5,SHAP,0.849,0.871,0.82,0.845,0.236,0.449,0.532,0.237,0.348
6,GradCAM,0.853,0.88,0.817,0.848,0.999,0.338,0.627,0.98,0.673
6,SHAP,0.853,0.88,0.817,0.848,0.236,0.441,0.527,0.238,0.347
7,GradCAM,0.85,0.861,0.835,0.848,0.999,0.344,0.616,0.98,0.677
7,SHAP,0.85,0.861,0.835,0.848,0.232,0.442,0.525,0.238,0.347
8,GradCAM,0.858,0.888,0.82,0.852,0.999,0.337,0.624,0.978,0.673
8,SHAP,0.858,0.888,0.82,0.852,0.239,0.444,0.527,0.237,0.348
9,GradCAM,0.861,0.888,0.825,0.856,0.999,0.343,0.622,0.978,0.675
9,SHAP,0.861,0.888,0.825,0.856,0.241,0.448,0.525,0.237,0.35
10,GradCAM,0.861,0.893,0.819,0.855,0.999,0.341,0.625,0.979,0.674
10,SHAP,0.861,0.893,0.819,0.855,0.238,0.444,0.524,0.236,0.349
11,GradCAM,0.867,0.909,0.814,0.859,0.999,0.342,0.641,0.98,0.67
11,SHAP,0.867,0.909,0.814,0.859,0.254,0.443,0.523,0.237,0.353
12,GradCAM,0.864,0.911,0.808,0.856,0.999,0.345,0.634,0.98,0.673
12,SHAP,0.864,0.911,0.808,0.856,0.244,0.447,0.523,0.239,0.352
13,GradCAM,0.864,0.882,0.839,0.86,0.999,0.346,0.627,0.982,0.675
13,SHAP,0.864,0.882,0.839,0.86,0.262,0.441,0.525,0.24,0.354
14,GradCAM,0.866,0.896,0.828,0.861,0.999,0.343,0.632,0.982,0.673
14,SHAP,0.866,0.896,0.828,0.861,0.227,0.442,0.522,0.24,0.347
15,GradCAM,0.88,0.898,0.856,0.877,1.0,0.333,0.646,0.981,0.667
15,SHAP,0.88,0.898,0.856,0.877,0.232,0.434,0.527,0.24,0.345
16,GradCAM,0.878,0.895,0.856,0.875,1.0,0.335,0.644,0.981,0.668
16,SHAP,0.878,0.895,0.856,0.875,0.239,0.439,0.522,0.241,0.349
17,GradCAM,0.875,0.884,0.863,0.874,0.999,0.336,0.645,0.982,0.668
17,SHAP,0.875,0.884,0.863,0.874,0.23,0.442,0.524,0.242,0.347
18,GradCAM,0.868,0.918,0.806,0.859,0.999,0.342,0.64,0.983,0.671
18,SHAP,0.868,0.918,0.806,0.859,0.245,0.437,0.522,0.242,0.351
19,GradCAM,0.878,0.896,0.855,0.875,0.999,0.34,0.643,0.982,0.67
19,SHAP,0.878,0.896,0.855,0.875,0.239,0.435,0.528,0.242,0.347
20,GradCAM,0.873,0.895,0.845,0.87,0.999,0.344,0.643,0.982,0.671
20,SHAP,0.873,0.895,0.845,0.87,0.252,0.434,0.523,0.242,0.351
