Cycle/PCAM,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
1,GradCAM,0,1.0,0.27,0.945,0.01,0.334
1,GradCAM,1,1.0,0.281,0.32,0.01,0.493
1,GradCAM,2,1.0,0.468,0.314,0.01,0.541
1,GradCAM,3,1.0,0.325,0.366,0.01,0.492
1,GradCAM,4,0.998,0.242,0.991,0.01,0.315
1,GradCAM,5,1.0,0.349,0.835,0.01,0.381
1,GradCAM,6,1.0,0.338,0.336,0.01,0.503
1,GradCAM,7,1.0,0.222,0.511,0.01,0.43
1,GradCAM,8,1.0,0.464,0.154,0.01,0.58
1,GradCAM,9,1.0,0.261,0.693,0.01,0.394
1,GradCAM,10,1.0,0.294,0.78,0.01,0.381
1,GradCAM,11,1.0,0.474,0.213,0.01,0.568
1,GradCAM,12,1.0,0.388,0.132,0.01,0.566
1,GradCAM,13,1.0,0.381,0.278,0.01,0.528
1,GradCAM,14,1.0,0.337,0.313,0.01,0.509
1,GradCAM,15,1.0,0.3,0.691,0.01,0.405
1,GradCAM,16,1.0,0.289,0.595,0.01,0.426
1,GradCAM,17,1.0,0.265,0.775,0.01,0.375
1,GradCAM,18,1.0,0.328,0.815,0.01,0.381
1,GradCAM,19,1.0,0.264,0.587,0.01,0.422
1,GradCAM,20,1.0,0.207,0.669,0.01,0.387
1,GradCAM,21,1.0,0.49,0.993,0.01,0.377
1,GradCAM,22,1.0,0.403,0.987,0.01,0.356
1,GradCAM,23,1.0,0.318,0.538,0.01,0.448
1,GradCAM,24,1.0,0.202,0.727,0.01,0.371
1,GradCAM,25,1.0,0.292,0.2,0.01,0.526
1,GradCAM,26,1.0,0.391,0.993,0.01,0.352
1,GradCAM,27,1.0,0.251,0.755,0.01,0.377
1,GradCAM,28,1.0,0.225,0.74,0.01,0.374
1,GradCAM,29,0.999,0.23,0.305,0.01,0.483
1,GradCAM,30,1.0,0.234,0.633,0.01,0.403
1,GradCAM,31,1.0,0.371,0.319,0.01,0.516
1,GradCAM,32,1.0,0.472,0.403,0.01,0.52
1,GradCAM,33,1.0,0.307,0.38,0.01,0.484
1,GradCAM,34,1.0,0.25,0.598,0.01,0.415
1,GradCAM,35,1.0,0.275,0.408,0.01,0.469
1,GradCAM,36,1.0,0.328,0.26,0.01,0.519
1,GradCAM,37,1.0,0.437,0.192,0.01,0.564
1,GradCAM,38,1.0,0.219,0.678,0.01,0.388
1,GradCAM,39,0.999,0.374,0.994,0.01,0.347
1,GradCAM,40,1.0,0.279,0.827,0.01,0.365
1,GradCAM,41,1.0,0.264,0.448,0.01,0.456
1,GradCAM,42,1.0,0.273,0.655,0.01,0.407
1,GradCAM,43,1.0,0.287,0.939,0.01,0.339
1,GradCAM,44,1.0,0.299,0.622,0.01,0.422
1,GradCAM,45,1.0,0.234,0.979,0.01,0.316
1,GradCAM,46,1.0,0.399,0.896,0.01,0.378
1,GradCAM,47,1.0,0.399,0.529,0.01,0.47
1,GradCAM,48,1.0,0.319,0.735,0.01,0.398
1,GradCAM,49,1.0,0.32,0.432,0.01,0.475
1,GradCAM,50,1.0,0.45,0.146,0.01,0.578
1,GradCAM,51,0.999,0.24,0.945,0.01,0.326
1,GradCAM,52,1.0,0.473,0.15,0.01,0.583
1,GradCAM,53,1.0,0.311,0.751,0.01,0.392
1,GradCAM,54,1.0,0.398,0.92,0.01,0.372
1,GradCAM,55,1.0,0.267,0.671,0.01,0.401
1,GradCAM,56,1.0,0.26,0.679,0.01,0.398
1,GradCAM,57,1.0,0.233,0.817,0.01,0.356
1,GradCAM,58,1.0,0.331,0.792,0.01,0.387
1,GradCAM,59,1.0,0.285,0.753,0.01,0.385
1,GradCAM,60,1.0,0.344,0.257,0.01,0.524
1,GradCAM,61,1.0,0.274,0.777,0.01,0.377
1,GradCAM,62,0.996,0.276,0.951,0.01,0.333
1,GradCAM,63,1.0,0.212,0.832,0.01,0.347
1,GradCAM,64,1.0,0.53,0.136,0.01,0.601
1,GradCAM,65,1.0,0.325,0.748,0.01,0.397
1,GradCAM,66,1.0,0.379,0.157,0.01,0.558
1,GradCAM,67,1.0,0.303,0.524,0.01,0.447
